recall_number,reported_on,classification,commodity_slug,kind,analyte,recalling_firm,summary,source_url
H-1262-2026,2026-08-05,Class I,bell_pepper,pathogen,Salmonella,"Sirna and Sons Produce, Inc",[Class I] Potential Salmonella Javiana contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1262-2026%22
H-1238-2026,2026-06-25,Class I,blueberry,pathogen,E. coli,"Publix Super Markets, Inc.",[Class I] Due to potential E. coli O145:H28 contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1238-2026%22
H-1256-2026,2026-08-05,Class I,bell_pepper,pathogen,Salmonella,"Dairyland Produce, LLC",[Class I] Jalapenos may be contaminated with Salmonella.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1256-2026%22
H-1239-2026,2026-06-25,Class I,blueberry,pathogen,E. coli,"Publix Super Markets, Inc.",[Class I] Due to potential E. coli O145:H28 contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1239-2026%22
H-1257-2026,2026-08-05,Class I,bell_pepper,pathogen,Salmonella,GET FRESH PRODUCE,[Class I] Potential Salmonella contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1257-2026%22
H-1242-2026,2026-07-22,Class I,bell_pepper,pathogen,Salmonella,Coast Citrus Distributors,[Class I] Potential Salmonella Javiana contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1242-2026%22
H-1293-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1293-2026%22
H-1293-2026,2026-07-17,Class I,carrot,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1293-2026%22
H-1293-2026,2026-07-17,Class I,cabbage,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1293-2026%22
H-1286-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1286-2026%22
H-1297-2026,2026-07-17,Class I,romaine,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1297-2026%22
H-1297-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1297-2026%22
H-1297-2026,2026-07-17,Class I,carrot,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1297-2026%22
H-1297-2026,2026-07-17,Class I,cabbage,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1297-2026%22
H-1283-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1283-2026%22
H-1299-2026,2026-07-17,Class I,romaine,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1299-2026%22
H-1299-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1299-2026%22
H-1299-2026,2026-07-17,Class I,carrot,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1299-2026%22
H-1299-2026,2026-07-17,Class I,cabbage,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1299-2026%22
H-1289-2026,2026-07-17,Class I,romaine,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1289-2026%22
H-1289-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1289-2026%22
H-1282-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1282-2026%22
H-1291-2026,2026-07-17,Class I,romaine,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1291-2026%22
H-1291-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1291-2026%22
H-1292-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1292-2026%22
H-1292-2026,2026-07-17,Class I,carrot,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1292-2026%22
